;full_name;Tm;GS;minutes;cluster_c;cluster_def;age;FGA_moy;TOV_moy;PF_moy;Prod_mean_opp;Opp;POS;code
4243;Joel Embiid;phi;1.0;30.0;4.0;3.0;27.0;16.0;3.6666666666666665;2.0;0.8699394274152258;wsh;C;Cphi1.0
4244;John Collins;atl;1.0;27.0;2.0;0.0;24.0;9.0;2.0;5.0;0.5347184734116613;bos;PF;PFatl1.0
4245;John Collins;atl;1.0;31.33333333333333;2.0;0.0;24.0;16.0;1.0;3.333333333333333;0.5347184734116613;bkn;PF;PFatl1.0
4246;John Collins;atl;1.0;24.0;2.0;0.0;24.0;10.0;1.5;3.5;0.5347184734116613;chi;PF;PFatl1.0
4247;John Collins;atl;1.0;30.5;2.0;0.0;24.0;11.5;1.0;4.0;0.5347184734116613;cha;PF;PFatl1.0
4248;John Collins;atl;1.0;26.0;2.0;0.0;24.0;11.0;1.3333333333333333;2.6666666666666665;0.5347184734116613;cle;PF;PFatl1.0
4249;John Collins;atl;1.0;38.5;2.0;0.0;24.0;19.5;1.5;1.5;0.5347184734116613;dal;PF;PFatl1.0
4250;John Collins;atl;1.0;27.5;2.0;0.0;24.0;11.0;0.5;3.0;0.5347184734116613;den;PF;PFatl1.0
4251;John Collins;atl;1.0;43.0;2.0;0.0;24.0;24.0;3.0;3.0;0.5347184734116613;det;PF;PFatl1.0
4252;John Collins;atl;1.0;34.0;2.0;0.0;24.0;19.0;0.0;3.0;0.5347184734116613;gs;PF;PFatl1.0
4253;John Collins;atl;1.0;16.0;2.0;0.0;24.0;7.0;0.0;1.0;0.5347184734116613;hou;PF;PFatl1.0
4254;John Collins;atl;1.0;28.33333333333333;2.0;0.0;24.0;12.333333333333336;1.6666666666666667;4.333333333333333;0.5347184734116613;ind;PF;PFatl1.0
4255;John Collins;atl;1.0;35.0;2.0;0.0;24.0;11.0;0.0;5.0;0.5347184734116613;lac;PF;PFatl1.0
4256;John Collins;atl;1.0;35.0;2.0;0.0;24.0;17.0;1.0;4.0;0.5347184734116613;lal;PF;PFatl1.0
4257;John Collins;atl;1.0;31.5;2.0;0.0;24.0;16.5;1.5;2.5;0.5347184734116613;mia;PF;PFatl1.0
4258;John Collins;atl;1.0;34.0;2.0;0.0;24.0;15.5;1.0;3.5;0.5347184734116613;mil;PF;PFatl1.0
4259;John Collins;atl;1.0;31.5;2.0;0.0;24.0;8.0;1.5;2.5;0.5347184734116613;min;PF;PFatl1.0
4260;John Collins;atl;1.0;30.0;2.0;0.0;24.0;13.333333333333336;0.6666666666666666;3.6666666666666665;0.5347184734116613;ny;PF;PFatl1.0
4261;John Collins;atl;1.0;30.0;2.0;0.0;24.0;15.0;0.5;2.5;0.5347184734116613;okc;PF;PFatl1.0
4262;John Collins;atl;1.0;25.0;2.0;0.0;24.0;10.0;1.0;3.0;0.5347184734116613;orl;PF;PFatl1.0
