;Opp_name;annee;cluster_player
3602;Zion Williamson;2020;4.0
3709;LaMarcus Aldridge;2020;1.0
3714;Myles Turner;2020;1.0
3764;Jusuf Nurkic;2020;1.0
3783;Quinndary Weatherspoon;2020;2.0
3802;Brad Wanamaker;2020;4.0
3957;Chandler Hutchison;2020;2.0
3967;De'Anthony Melton;2020;4.0
4004;Marc Gasol;2020;0.0
4087;Jrue Holiday;2020;1.0
4088;Garrett Temple;2020;1.0
4097;Russell Westbrook;2020;0.0
4220;Bobby Portis;2020;4.0
4285;Jevon Carter;2020;3.0
4349;Jaylen Adams;2020;
4433;Monte Morris;2020;4.0
4479;Cameron Payne;2020;4.0
4563;Kawhi Leonard;2020;0.0
4592;Draymond Green;2020;1.0
4634;Aaron Gordon;2020;1.0
4762;Kris Dunn;2020;4.0
5016;Will Barton;2020;0.0
5019;Paul George;2020;1.0
5164;Tyler Johnson;2020;4.0
5212;Ja Morant;2020;1.0
5239;Luguentz Dort;2020;1.0
5309;Bol Bol;2020;4.0
5331;Tacko Fall;2020;2.0
5517;Kevon Looney;2020;3.0
5672;Gary Harris;2020;1.0
5795;Juan Toscano-Anderson;2020;0.0
6313;Bryn Forbes;2020;1.0
6377;James Ennis;2020;4.0
6422;Paul Watson;2020;
6675;Devontae Cacok;2020;
6765;Dorian Finney-Smith;2020;0.0
7459;Sindarius Thornwell;2020;
9578;Darius Miller;2020;
9599;Mychal Mulder;2020;1.0
10503;Jarrell Brantley;2020;3.0
10803;Udonis Haslem;2020;
10821;Nerlens Noel;2020;4.0
10846;Mike Muscala;2020;2.0
15058;Andrew Wiggins;2020;0.0
16096;Klay Thompson;2020;
24817;Maurice Harkless;2021;2.0
24818;;2021;
24820;Justin Jackson;2021;4.0
24826;Giannis Antetokounmpo;2021;1.0
24827;Tristan Thompson;2021;1.0
24831;Doug McDermott;2021;4.0
24833;Richaun Holmes;2021;1.0
24834;Nicolas Batum;2021;0.0
24835;Pascal Siakam;2021;0.0
24836;Duncan Robinson;2021;0.0
24842;Bojan Bogdanovic;2021;4.0
24844;Kawhi Leonard;2021;1.0
24845;Rodney Hood;2021;4.0
24846;Taj Gibson;2021;4.0
24847;Eric Paschall;2021;3.0
24848;Saddiq Bey;2021;3.0
24851;Joe Ingles;2021;4.0
24867;Mike Scott;2021;4.0
24868;Chris Boucher;2021;2.0
24871;Harry Giles;2021;4.0
