;Opp_name;annee;PTS_diff;AST_diff;TRB_diff;FGA;TOV;PF;BLK_diff;STL_diff
387;Josh Richardson;2021;-1.7773529240051407;-0.4755472575726283;-0.953519199960585;12.7;1.3;2.1;-0.04113532981970067;0.10311854189882483
388;Jrue Holiday;2020;-1.0178481195410531;0.36916517886635875;0.1354066414602841;14.2;2.24;2.12;-0.14126981924775553;0.27526607801740327
389;Jrue Holiday;2021;-1.4004817892707788;0.3214883583648015;-0.5648799294308215;13.333333333333334;2.0;1.4761904761904763;0.06680472230052363;0.042857258206716965
390;Juan Toscano-Anderson;2020;-0.8160706068449816;1.4404536957146967;-1.4890235835490366;12.8;2.6;2.6;-0.2962812769628991;0.49748993385102097
391;Juan Toscano-Anderson;2021;1.289098692713583;-0.3155008026005176;-0.37367695207910606;8.148148148148149;1.2222222222222223;2.1481481481481484;-0.22219232426757543;0.08882984691001249
392;Juancho Hernangomez;2020;-1.1323763633009636;0.35743435775378696;-0.09729459559620188;8.076923076923077;1.1538461538461537;1.6923076923076923;0.018732438824653662;-0.08360513129436509
393;Juancho Hernangomez;2021;-0.14450729461800768;0.7396794004392282;-0.8484967451012824;5.869565217391305;0.6956521739130435;1.9130434782608696;0.04246447755592819;-0.16651541054238767
394;Julius Randle;2020;2.840030955255443;0.35681681112160807;0.6000159976742597;11.375;1.5;2.9166666666666665;0.18126630985316164;0.11194216444583895
395;Julius Randle;2021;-1.1140612088304285;-0.6730956204208005;0.6233478186119805;11.5;2.15;3.45;0.11268860177305692;-0.2762997162652696
396;Justin Holiday;2020;-1.4576753293939368;-0.31431596218905633;-0.31591332975643316;5.15;1.05;1.425;-0.08419539454201592;-0.33188402887194635
397;Justin Holiday;2021;-1.5888825947484515;0.40185218062808287;0.0230360830727344;9.956521739130435;1.434782608695652;1.3043478260869565;-0.13636957890897036;-0.3675942061179288
398;Justin Jackson;2020;-2.9248605396798375;-0.31415088797484014;-0.2875885119791953;5.321428571428571;0.6071428571428571;1.4642857142857142;-0.19850468871965404;-0.21611779787303517
399;Justin Jackson;2021;-0.6963092130498807;0.2620498400363591;0.2780357191097616;7.375;1.125;1.7083333333333333;0.19526800573700376;-0.07711876021746873
400;Justin James;2020;-0.16420171199693187;-0.4399052573985429;-0.6553146310039036;5.54054054054054;1.135135135135135;1.8108108108108107;-0.10585445782964437;0.14418258210612217
401;Justin James;2021;0.29085896868501165;0.120729917845343;0.32779117597706864;5.777777777777778;0.6666666666666666;1.3333333333333333;0.1599617439729193;0.37619458693606966
402;Justise Winslow;2020;4.432543739250496;-0.1932166033739552;1.5900493005428742;9.4;0.8;2.6;-0.1417088546528113;0.2796966383536731
403;Justise Winslow;2021;0.25017376896236593;0.1535318775260139;-0.2647608370304499;4.777777777777778;0.8888888888888888;1.2777777777777777;0.236020378441053;0.1112127631311816
404;Jusuf Nurkic;2020;9.33424980361351;-0.40966221523959134;-2.1398271798900232;13.0;3.0;5.5;0.03600418957842366;-0.7477088242995549
405;Jusuf Nurkic;2021;-1.6136363636363633;-1.0227272727272727;3.545454545454546;14.0;3.0;2.0;0.5454545454545454;0.09090909090909094
406;Juwan Morgan;2020;-0.3531971462992314;-0.18102245296889968;0.4849560495016462;3.6666666666666665;0.5555555555555556;0.7777777777777778;-0.2590093364736674;-0.1905237884244247
407;Juwan Morgan;2021;-0.9410231718148336;-0.317032046610762;-0.9531628981228261;3.0;0.3333333333333333;1.0952380952380953;-0.30595844099211994;-0.11689052165115661
408;KZ Okpala;2020;-4.578907506220749;-0.2752838637813171;-1.5558694002030167;3.3333333333333335;0.6666666666666666;1.1666666666666667;-0.3035321278105658;-0.07612624751843766
409;KZ Okpala;2021;-0.08971441215031699;-0.0940686732874959;-0.3576577197641923;7.333333333333333;1.6;2.3333333333333335;-0.08740432622141474;-0.20359913665756227
410;Karim Mane;2021;2.342874180083482;0.5336911150864639;-0.32915921288014305;6.0;1.0;1.3333333333333333;0.22480620155038755;-0.5515802027429935
411;Karl-Anthony Towns;2020;-1.9782332318406237;-0.3122653325131458;-0.4121345944969531;8.047619047619047;1.5714285714285714;3.2857142857142856;0.6756928922792225;0.1244693089971686
412;Karl-Anthony Towns;2021;2.584869531950074;-0.4399711950751614;0.16651229790697666;9.4;1.2;3.6;-0.29427578861032355;0.020551707222547014
413;Kawhi Leonard;2020;-3.251956230378248;-0.642395433034479;-0.16503832046728661;11.375;1.375;2.25;0.25940720586682897;-0.5975293468920941
414;Kawhi Leonard;2021;1.5329365079365074;-0.5956349206349207;-2.8674603174603175;17.0;1.5;1.0;0.4404761904761906;0.5583333333333333
415;Keita Bates-Diop;2020;-2.2707469217860106;0.21863438378522188;0.19761405613637617;4.181818181818182;0.5;1.1363636363636365;-0.133575440826723;-0.3845309714556517
416;Keita Bates-Diop;2021;-0.7693452380952381;-0.6584821428571429;-0.6733630952380953;5.0;1.5;2.5;0.07291666666666669;0.4308035714285714
417;Keljin Blevins;2021;-0.8039268926145186;-0.3166218515058097;0.5190433268839701;6.222222222222222;0.4444444444444444;1.0;0.15941330355067634;0.06807309733181746
